id,stationName,gegrLat,gegrLon,city,addressStreet
983,Szczecinek_Przemysłowa,53.6989,16.704572,"{'id': 918, 'name': 'Szczecinek', 'commune': {'communeName': 'Szczecinek', 'districtName': 'szczecinecki', 'provinceName': 'ZACHODNIOPOMORSKIE'}}",ul. Przemysłowa 5
16157,Uzdrowisko_Połczyn-Zdrój,53.755719,16.089289,"{'id': 724, 'name': 'Połczyn-Zdrój', 'commune': {'communeName': 'Połczyn-Zdrój', 'districtName': 'świdwiński', 'provinceName': 'ZACHODNIOPOMORSKIE'}}",Solankowa 8
11514,CHojnice - mobilna,53.699954,17.546811,"{'id': 111, 'name': 'Chojnice', 'commune': {'communeName': 'Chojnice', 'districtName': 'chojnicki', 'provinceName': 'POMORSKIE'}}",Plac Emsdetten
805,"Dąbrowa Górnicza, ul. Tysiąclecia 25a",50.329111,19.231222,"{'id': 157, 'name': 'Dąbrowa Górnicza', 'commune': {'communeName': 'Dąbrowa Górnicza', 'districtName': 'Dąbrowa Górnicza', 'provinceName': 'ŚLĄSKIE'}}",ul. 1000-lecia 25 a
809,"Gliwice, ul. Mewy 34",50.279481,18.655736,"{'id': 221, 'name': 'Gliwice', 'commune': {'communeName': 'Gliwice', 'districtName': 'Gliwice', 'provinceName': 'ŚLĄSKIE'}}",ul. Mewy 34
813,"Katowice, ul. Plebiscytowa/A4",50.246795,19.019469,"{'id': 350, 'name': 'Katowice', 'commune': {'communeName': 'Katowice', 'districtName': 'Katowice', 'provinceName': 'ŚLĄSKIE'}}",al. Górnośląska
814,"Katowice, ul. Kossutha 6",50.264611,18.975028,"{'id': 350, 'name': 'Katowice', 'commune': {'communeName': 'Katowice', 'districtName': 'Katowice', 'provinceName': 'ŚLĄSKIE'}}",ul. Kossutha 6
837,"Sosnowiec, ul. Lubelska 51",50.285956,19.184399,"{'id': 862, 'name': 'Sosnowiec', 'commune': {'communeName': 'Sosnowiec', 'districtName': 'Sosnowiec', 'provinceName': 'ŚLĄSKIE'}}",ul. Lubelska 51
841,"Tychy, ul. Tołstoja 1",50.099903,18.990236,"{'id': 988, 'name': 'Tychy', 'commune': {'communeName': 'Tychy', 'districtName': 'Tychy', 'provinceName': 'ŚLĄSKIE'}}",ul. Tołstoja 1
848,"Zabrze, ul. M. Curie-Skłodowskiej 34",50.3165,18.772375,"{'id': 1073, 'name': 'Zabrze', 'commune': {'communeName': 'Zabrze', 'districtName': 'Zabrze', 'provinceName': 'ŚLĄSKIE'}}",ul. M. Skłodowskiej-Curie 34
